,AC SN,EICAS Message,MDC Message,LRU,ATA,B1-Equation,Type,Equation Description,Total Occurences,Consective Days,Consecutive FL,Intermittent,Reason(s) for flag,Priority,Known Top Message - Recommended Documents,MHIRJ ISE Recommendation,Additional Comments,MHIRJ ISE Input
244,10188,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,3,0,3,0,Total occurances exceeded 2 occurances. Maximum consecutive flight legs exceeded 2 flight legs. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
251,10188,AC BUS 1 if external AC is the only AC power source,NO EXT AC PR SIGNAL,GCU 1,24-11,B1-006884,Fault Message,The command of APU GCU for GTC1 isnot correctly received by GCU1.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 24−21−01−810−807 / Remarks: Crosscheck with EICAS
Follow FIM",0,0,0
260,10299,TRU FAN FAIL,FAN/OVERHEAT SW,TRU2,24-30,B1-008229,Fault Message,"The TRU has reached excessivetemperature, suggesting a fanfailure or an overheat switchfailure.",25,1,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 24−31−01−810−802 / Remarks: FIM INTRO  Intermittent  List,0,0,0
261,10276,AUTO PRESS 1 FAIL (white),LDG ELEV SIGNAL FAULT,CPC 1,21-31,B1-006134,Fault Message,CPC 1 is not able to read thecockpit panel Landing Elevationselection. Failure in theacquisition chain occurred.,5,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
285,15108, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-006686,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.FCC may report R-AHC-1 bus asfailed for a period of 90+ secondswhile aligning after the R-AHC hasbeen powered up.",7,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: None / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
286,15108, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",9,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
291,15108,AC BUS 1 if external AC is the only AC power source,NO EXT AC PR SIGNAL,GCU 1,24-11,B1-006884,Fault Message,The command of APU GCU for GTC1 isnot correctly received by GCU1.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 24−21−01−810−807 / Remarks: Crosscheck with EICAS
Follow FIM",0,0,0
297,10196,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
300,10196, ,NO L-DME-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007007,Fault Message,"IOC 1B is reporting L-DME-1 inputinactive, while IOC 1A isreporting L-DME-1 input active.Suspect a failed IOC 1B input, orwiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
301,10196, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
305,10251,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,2,1,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
310,10251, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",2,1,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
318,10191,R PACK FAIL,R PACK DISCH. DISCONNECT,R PACK DSCH DUCT,21-61,B1-211939,Fault Message,Check discharge duct for potentialdisconnection.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
357,10292, ,NO LB-IOC-1 BUS OUTPUT,IAPS IOC 1B,22-12,B1-006989,Fault Message,"At least 2 of the following areoccurring; LB-IOC-1 input to MFD1is inactive, LB-IOC-1 input toMFD2 is inactive, LB-IOC-1 inputto PFD1 is inactive, LB-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−807 / Remarks: MFD / PFD / Follow FIM / subsequent loss of another bus will cause evident loss of data on displays,0,0,0
365,15070, ,NO L-AHC-1 BUS INPUT,FCC 1,22-11,B1-006673,Fault Message,"AHC1 is strapped. FCC1 isreporting L-AHC-1 input inactive,while AHC1 is present at IOC1 andAHC1 is not reporting an internalor heading fault. Suspect FCC1, orwiring.FCC may report L-AHC-1 bus asfailed for a period of 90+ secondswhile aligning after the L-AHC hasbeen powered up.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: None / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
366,15070, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-006686,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.FCC may report R-AHC-1 bus asfailed for a period of 90+ secondswhile aligning after the R-AHC hasbeen powered up.",9,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: None / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
367,15070, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",11,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
444,10192,AUTO PRESS 1 FAIL (white),LDG ELEV SIGNAL FAULT,CPC 1,21-31,B1-006134,Fault Message,CPC 1 is not able to read thecockpit panel Landing Elevationselection. Failure in theacquisition chain occurred.,7,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
464,15086, ,NO LB-IOC-1 BUS OUTPUT,IAPS IOC 1B,22-12,B1-006989,Fault Message,"At least 2 of the following areoccurring; LB-IOC-1 input to MFD1is inactive, LB-IOC-1 input toMFD2 is inactive, LB-IOC-1 inputto PFD1 is inactive, LB-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−807 / Remarks: MFD / PFD / Follow FIM / subsequent loss of another bus will cause evident loss of data on displays,0,0,0
465,15086, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
475,15060, ,NO LB-IOC-1 BUS OUTPUT,IAPS IOC 1B,22-12,B1-006989,Fault Message,"At least 2 of the following areoccurring; LB-IOC-1 input to MFD1is inactive, LB-IOC-1 input toMFD2 is inactive, LB-IOC-1 inputto PFD1 is inactive, LB-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−807 / Remarks: MFD / PFD / Follow FIM / subsequent loss of another bus will cause evident loss of data on displays,0,0,0
476,15060, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
478,15060, ,NO RA-IOC-1 BUS OUTPUT,IAPS IOC 2A,22-12,B1-007028,Fault Message,"At least 2 of the following areoccurring; RA-IOC-1 input to MFD1is inactive, RA-IOC-1 input toMFD2 is inactive, RA-IOC-1 inputto PFD1 is inactive, RA-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
481,15060,GEN 1 OFF,MPU FAULT,IDG1,24-11,B1-007097,Fault Message,"The MPU interface is notresponding properly, causing theIDG to fail. A possible cause inthe aircraft wiring to thisinterface.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
486,10035, ,FCS DIAG CODE=AP DIS,FCC 1,22-11,B1-006677,Fault Message,"When fault is a (AP DISENGAGECODE) detailed information can befound by analyzing the associatedtext for each bit set in label351. Detailed information may befound in the aircraft flipchart,or under ADVANCED DIAGNOSTIC pagesin MDC.",4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
489,10035, ,FCS DIAG CODE=AP DIS,FCC 2,22-11,B1-006690,Fault Message,"When fault is a (AP DISENGAGECODE) detailed information can befound by analyzing the associatedtext for each bit set in label351. Detailed information may befound in the aircraft flipchart,or under ADVANCED DIAGNOSTIC pagesin MDC.",7,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
499,15099, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-006686,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.FCC may report R-AHC-1 bus asfailed for a period of 90+ secondswhile aligning after the R-AHC hasbeen powered up.",2,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: None / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
500,15099, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",3,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
508,10207,CAS MESSAGE: L PACK FAULT (WHITE),NO CH A/B XTALK BUS,ACSC 1,21-61,B1-005820,Fault Message,No data is received on the RS422bus input from the oppositeChannel A or Channel B.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
510,10207,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
511,10207,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
527,10301,CAS MESSAGE: R PACK FAULT (WHITE),NO RESPONSE TO CMD,HOT AIR SOV2,21-61,B1-006929,Fault Message,Right ACS controller is not ableto control Hot Air Shut-Off Valveas required.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−61−08−810−802 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
568,10122,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
574,15062, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",2,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
617,15205, ,NO L-RAC-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007012,Fault Message,"IOC 1B is reporting L-RAC-1 inputinactive, while IOC 1A isreporting L-RAC-1 input active.Suspect a failed IOC 1B input, orwiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
667,10213, ,NO RA-IOC-1 BUS OUTPUT,IAPS IOC 2A,22-12,B1-007028,Fault Message,"At least 2 of the following areoccurring; RA-IOC-1 input to MFD1is inactive, RA-IOC-1 input toMFD2 is inactive, RA-IOC-1 inputto PFD1 is inactive, RA-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
673,10284,CAS MESSAGE: L PACK FAULT (WHITE),NO CH A/B XTALK BUS,ACSC 1,21-61,B1-005820,Fault Message,No data is received on the RS422bus input from the oppositeChannel A or Channel B.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
675,10284,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
700,10185,APU BATT CHGR,UNABLE TO CHARGE BATTERY,APU BATT CHRG,24-30,B1-006023,Fault Message,The charger reports a failure ofitself or the battery.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
715,10236,AUTO PRESS 1 FAIL (white),LDG ELEV SIGNAL FAULT,CPC 1,21-31,B1-006134,Fault Message,CPC 1 is not able to read thecockpit panel Landing Elevationselection. Failure in theacquisition chain occurred.,6,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
724,10236,AC BUS 2,GLC2 DRIVER,ACPC CH2 PCB,24-50,B1-005804,Fault Message,The electronic driver for thatcontactor is failed.,2,1,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
730,10294, ,NO EGPWS-2 BUS INPUT,IAPS IOC 2A,22-12,B1-007055,Fault Message,"EGPWS-2 input to IOC 2A isinactive, while EGPWS-2 input toIOC 2B is reported active. SuspectIOC 2A, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
746,10136, ,NO RA-IOC-1 BUS OUTPUT,IAPS IOC 2A,22-12,B1-007028,Fault Message,"At least 2 of the following areoccurring; RA-IOC-1 input to MFD1is inactive, RA-IOC-1 input toMFD2 is inactive, RA-IOC-1 inputto PFD1 is inactive, RA-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
765,10208, ,NO RA-IOC-1 BUS OUTPUT,IAPS IOC 2A,22-12,B1-007028,Fault Message,"At least 2 of the following areoccurring; RA-IOC-1 input to MFD1is inactive, RA-IOC-1 input toMFD2 is inactive, RA-IOC-1 inputto PFD1 is inactive, RA-IOC-1input to PFD2 is inactive. Suspectthe IOC, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
790,15096, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
