Aircraft,Tail#,Flight Leg No,ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
AC10201,745SK,,38,10,14154,POTABLE WATER,FWD VLV HTR,11/30/2020 23:59,LOW CURRENT/OPEN,FAILED/WIRING,,Fault,,B1-006837,AC102018.CFM,,,4028670876189a4701761b9d4f964d26,
AC10201,745SK,27499,49,0,49-00,APU,APU ECU,11/30/2020 23:59,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC102019.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 008781
273 AIRCRAFT DISCR R 008782
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",4028670876189a4701761ba78e024fe8,9900
AC10242,778SK,26407,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 23:59,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC102421.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708765b8d1801765bf51a28048e,3110
AC10242,778SK,26407,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:59,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC102423.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003",,4028670876189a4701761c025dec5a37,3110
AC15092,692CA,20537,38,10,Oct-38,POTABLE WATER,RELIEF VLV HTR,11/30/2020 23:59,LOW CURRENT/OPEN,FAILED/WIRING,GROUND,Fault,1,B1-007763,AC15092A.FMH,,352 PWS CNTRL UNIT 004001,40286708766b002f01766be566f40d17,3536
AC15203,822SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:59,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC152034.CFM,,,4028670876189a4701761b9d5ec74d35,
AC10166,752EV,,30,0,30-00,ICE & RAIN PROTECTION,L COWL A/ICE SOV,11/30/2020 23:58,SOV SW POSITION MISMATCH,FAILED/WIRING,,Fault,,B1-039268,AC101665.CFM,,,4028670876189a4701761b9d48504d1b,
AC15469,838SK,1685,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:58,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC154690.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600193",402867087651405b0176519d7a1703e3,3791
AC10166,752EV,,30,0,30-00,ICE & RAIN PROTECTION,R COWL A/ICE SOV,11/30/2020 23:58,SOV SW POSITION MISMATCH,FAILED/WIRING,,Fault,,B1-039271,AC101665.CFM,,,4028670876189a4701761b9d48604d1c,
AC10201,745SK,27499,78,31,78-31,THRUST REVERSERS,L TR F/BK ACT 3,11/30/2020 23:58,TR LVDT ACT 3&4 DISAGREE,FAILED/WIRING,TAXI,Fault,0,B1-113037,AC102019.FMH,,"352A L FADEC 100003
352B L FADEC 100002",4028670876189a4701761ba78e114fe9,9900
AC10295,793SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:58,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10295A.CFM,,,4028670876189a4701761b9d58d54d30,
AC15453,830SK,,22,11,22-Nov,AUTOMATIC FLT CONTROL,FCC 1,11/30/2020 23:58,NO L-AHC-1 BUS INPUT,FAILED/WIRING,,Fault,,B1-246748,AC154531.CFM,"071 FCC 1 000001
351 FCC 1 ------","071 FCC 1 000001
350 AHC 1 000001
350 AHC 1 000001
350 AHC 1 000001
270 AHC 4000 L 000029",4028670876189a4701761b9d66ec4d43,
AC15469,838SK,1685,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:58,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC154690.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 624E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600193",402867087651405b0176519d7a1703e4,3791
AC10159,709SK,,31,41,31-41,Engine Indication and Crew Alerting System (EICAS),DCU 1,11/30/2020 23:57,FDR FAILURE,FAILED,,Fault,,B1-006250,AC10159R.CFM,,,4028670876189a4701761b9d45e24d17,
AC15455,832SK,2765,71,0,71-00,POWER PLANT,R AIR START SOV,11/30/2020 23:57,NO OPEN INDICATION,FAILED/WIRING,GROUND,Fault,1,B1-006071,AC15455V.FMH,,"354A R FADEC 080001
354B R FADEC 080000",40286708765b8d1801765bf6303a0ecb,3857
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006952,AC15452J.CSM,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 6001B3",4028670876189a4701761b9d64474d3d,
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006987,AC15452J.CSM,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 6001A3",4028670876189a4701761b9d645a4d3e,
AC10330,632SK,16518,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC10330Y.SMH,"350 IAPS IOC 1B 000203
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 000203
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 080000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600183",402867087660b37d017661830a0d0f35,3158
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007026,AC15452J.CSM,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 628E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600193",4028670876189a4701761b9d645a4d3f,
AC10330,632SK,16518,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10330Y.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600183",402867087660b37d017661830a0d0f36,3158
AC15086,809SK,22911,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 23:56,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-007306,AC150869.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",40286708763ca6e201763dc585d519d9,3976
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:56,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007061,AC15452J.CSM,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 624E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600193",4028670876189a4701761b9d646c4d40,
AC10035,611SK,31816,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:54,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-006987,AC10035F.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 624E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",402867087637807c01763c38d0935456,3044
AC10250,606SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:54,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC102507.CFM,,,4028670876189a4701761b9d534a4d29,
AC10328,630SK,17090,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:54,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC10328Q.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600173",402867087622e717017622f1769a0070,3136
AC10292,790SK,,28,0,28-00,FUEL,XFLOW PUMP,11/30/2020 23:54,CMD/STATUS DISAGREE,FAILED/WIRING,,Fault,,B1-008362,AC10292D.CFM,,,4028670876189a4701761b9d55ba4d2d,
AC10292,790SK,18635,49,0,49-00,APU,APU ECU,11/30/2020 23:54,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC10292U.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000011
353 APU ECU 000001","273 AIRCRAFT DISCR L 0087E1
273 AIRCRAFT DISCR R 0087E2
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",40286708763ca6e201763ce8728c0360,6003
AC10035,611SK,31816,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:54,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-006952,AC10035F.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",402867087637807c01763c38d0935457,3044
AC10250,606SK,,34,21,34-21,Attitude and Heading Reference System (AHRS),AHC 1,11/30/2020 23:54,INTERNAL FAULT,FAILED,,Fault,,B1-005922,AC102507.CFM,,,4028670876189a4701761b9d534a4d2a,
AC10328,630SK,17090,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:54,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC10328Q.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600173",402867087622e717017622f1769a0071,3136
AC10184,718SK,27791,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC101848.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",4028670876189a4701761bda0bf05454,2960
AC10143,656CA,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007026,AC10143L.CSM,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",4028670876189a4701761b9d41c74d14,
AC15451,827SK,2713,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC15451S.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 627E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 080000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600193",402867087646f3a601764aee81f548a7,3966
AC10184,718SK,27791,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC101848.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 627E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",4028670876189a4701761bda0c005455,2960
AC10207,750SK,27551,78,31,78-31,THRUST REVERSERS,L TR GND RLY B,11/30/2020 23:53,RELAY OPEN OR ICV CLOSED,FAILED/WIRING,TAXI,Fault,0,B1-008217,AC10207N.FMH,,"255 AIRCRAFT DISCR R 0156C2
245 AIRCRAFT DISCR R 194102
273 AIRCRAFT DISCR R 008782
272B L FADEC 00965E
272A L FADEC 00965F",40286708765b8d1801765bf4f02f031f,3258
AC10143,656CA,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007061,AC10143L.CSM,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 624E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",4028670876189a4701761b9d41c74d15,
AC15168,554CA,19991,34,25,34-25,Electronic Flight Instrument System (EFIS),MFD 2,11/30/2020 23:53,NO OUTPUT/NO BUS TO IOC,OFF/NO OUTPUT,AIR,Fault,0,B1-007342,AC15168N.FMH,"350 MFD 2 ------
351 MFD 2 ------","350 MFD 2 ------
350 MFD 2 ------",40286708763ca6e201763db85844141f,3630
AC15451,827SK,2713,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:53,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC15451S.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600193",402867087646f3a601764aee81f548a8,3966
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 23:52,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-006902,AC15456O.CSM,,"350A ACSC 2 100002
350B ACSC 2 100003",4028670876189a4701761b9d69b74d48,
AC10141,730EV,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 23:52,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC101414.CFM,,,4028670876189a4701761b9d3b924d0d,
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 23:52,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-007306,AC15456O.CSM,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876189a4701761b9d69b74d49,
AC10141,730EV,,24,11,24-Nov,ELECTRICAL POWER GEN,IDG2,11/30/2020 23:52,INTERNAL FAULT,FAILED,,Fault,,B1-007108,AC101414.CFM,,,4028670876189a4701761b9d3b924d0e,
AC10250,606SK,25938,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 23:52,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC102502.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",40286708764c1a0001765131c8505001,2969
AC15456,833SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:52,INPUT BUS ERROR,LRU OK/INFO,,Service,1,B1-006952,AC15456R.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 6001A3",4028670876189a4701761b9d69c74d4a,
AC10141,730EV,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:52,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC101414.CFM,,,4028670876189a4701761b9d3ba14d0f,
AC10143,656CA,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 23:52,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10143L.CFM,,"252 AIRCRAFT DISCR L 088001
252 AIRCRAFT DISCR R 088002",4028670876189a4701761b9d3e924d12,
AC10250,606SK,25938,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 23:52,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC102502.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 624E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 000000
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 080000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",40286708764c1a0001765131c8505002,2969
AC15168,554CA,19991,34,25,34-25,Electronic Flight Instrument System (EFIS),MFD 1,11/30/2020 23:52,NO OUTPUT/NO BUS TO IOC,OFF/NO OUTPUT,AIR,Fault,0,B1-007319,AC15168N.FMH,"350 MFD 1 ------
351 MFD 1 ------","350 MFD 1 ------
350 MFD 1 ------",40286708763ca6e201763db858441420,3630
AC15456,833SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:52,INPUT BUS ERROR,LRU OK/INFO,,Service,1,B1-006987,AC15456R.SMH,"350 IAPS IOC 1B 000203
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 000203
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 6001A3",4028670876189a4701761b9d69c74d4b,
AC15451,827SK,2713,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:51,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-006987,AC15451S.SMH,"350 IAPS IOC 1B 000203
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 623E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 000203
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 080000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600193",402867087646f3a601764aee81f548a9,3966
AC15096,693CA,20580,49,0,49-00,APU,TIME TOTALIZER,11/30/2020 23:51,NO DATA OUTPUT TO ECU,FAILED/WIRING,TAXI,Service,7,B1-006019,AC15096M.SMH,,352 APU ECU 000011,40286708762d33df01762e5911841950,3681
AC15451,827SK,2713,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:51,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-006952,AC15451S.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 080000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600193",402867087646f3a601764aee81f548aa,3966
AC10194,732SK,27744,27,60,27-60,SPOILERS,R OB MFS PCU,11/30/2020 23:50,RANGE LVDT,FAILED/WIRING,AIR,Fault,0,B1-007923,AC10194O.FMH,,"350A SSCU 2 064062
350B SSCU 2 064023",40286708761dc0a501761e27545705ae,
AC10194,732SK,27744,27,60,27-60,SPOILERS,R IB MFS PCU,11/30/2020 23:50,RANGE LVDT,FAILED/WIRING,AIR,Fault,0,B1-007913,AC10194O.FMH,,"350A SSCU 1 000000
350B SSCU 1 064021",40286708761dc0a501761e27545705af,
AC10194,732SK,27744,27,60,27-60,SPOILERS,PLT RCIM,11/30/2020 23:50,RANGE RVDT CH1,FAILED/WIRING,AIR,Fault,0,B1-007892,AC10194O.FMH,,"350A SSCU 1 000000
350B SSCU 1 064021",40286708761dc0a501761e27546705b0,
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 23:50,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006952,AC15452G.CSM,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 6001B3",4028670876189a4701761b9d60e94d37,
AC10184,718SK,,33,42,33-42,NAVIGATION LIGHTS,L SEC NAV LT,11/30/2020 23:50,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007837,AC101845.CFM,,,4028670876189a4701761b9d4d504d1f,
AC10194,732SK,27744,27,60,27-60,SPOILERS,L OB MFS PCU,11/30/2020 23:50,RANGE LVDT,FAILED/WIRING,AIR,Fault,0,B1-007918,AC10194O.FMH,,"350A SSCU 2 064062
350B SSCU 2 064023",40286708761dc0a501761e27546705b1,
AC15452,829SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 23:50,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-006987,AC15452G.CSM,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 6001A3",4028670876189a4701761b9d60e94d38,
AC10184,718SK,,34,61,34-61,Flight Management System,FMC 1,11/30/2020 23:50,INTERNAL FAULT,FAILED,,Fault,,B1-006719,AC101845.CFM,,,4028670876189a4701761b9d4d604d20,
AC10194,732SK,27744,27,60,27-60,SPOILERS,FSCL,11/30/2020 23:50,RANGE RVDT CH1-M,FAILED/WIRING,AIR,Fault,0,B1-007900,AC10194O.FMH,,"350A SSCU 1 000000
350B SSCU 1 064021",40286708761dc0a501761e27547605b2,
